Date : 2023-12-08 14:13:41
Directory : d:\Code\PAD\SI-Lab-TRPL
Total : 223 files,  19447 codes, 1987 comments, 1843 blanks, all 23277 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          4 |     10,086 |          0 |          4 |     10,090 |
| PHP        |        195 |      9,014 |      1,947 |      1,764 |     12,725 |
| PostCSS    |          6 |        146 |         12 |         27 |        185 |
| XML        |         10 |         99 |          3 |          9 |        111 |
| JavaScript |          7 |         57 |         25 |         17 |         99 |
| Markdown   |          1 |         45 |          0 |         22 |         67 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                     |        223 |     19,447 |      1,987 |      1,843 |     23,277 |
| . (Files)                                                                                             |          9 |     10,199 |          3 |         33 |     10,235 |
| app                                                                                                   |         65 |      2,160 |        681 |        586 |      3,427 |
| app\Console                                                                                           |          1 |         15 |          7 |          6 |         28 |
| app\Exceptions                                                                                        |          1 |         17 |          9 |          5 |         31 |
| app\Http                                                                                              |         25 |      1,182 |        158 |        259 |      1,599 |
| app\Http (Files)                                                                                      |          1 |         43 |         22 |          7 |         72 |
| app\Http\Controllers                                                                                  |         11 |        975 |         58 |        196 |      1,229 |
| app\Http\Middleware                                                                                   |         13 |        164 |         78 |         56 |        298 |
| app\Models                                                                                            |         17 |        400 |         16 |        128 |        544 |
| app\Policies                                                                                          |         16 |        464 |        448 |        160 |      1,072 |
| app\Providers                                                                                         |          5 |         82 |         43 |         28 |        153 |
| bootstrap                                                                                             |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                |         15 |        536 |        750 |        238 |      1,524 |
| database                                                                                              |         55 |      1,244 |        334 |        279 |      1,857 |
| database\factories                                                                                    |         17 |        221 |        158 |         76 |        455 |
| database\migrations                                                                                   |         20 |        455 |        121 |        116 |        692 |
| database\seeders                                                                                      |         18 |        568 |         55 |         87 |        710 |
| public                                                                                                |         15 |        219 |         39 |         42 |        300 |
| public (Files)                                                                                        |          1 |         14 |         30 |         12 |         56 |
| public\assets                                                                                         |         14 |        205 |          9 |         30 |        244 |
| public\assets\css                                                                                     |          4 |        129 |          7 |         22 |        158 |
| public\assets\img                                                                                     |          9 |         70 |          1 |          8 |         79 |
| public\assets\img\dashboard                                                                           |          8 |         36 |          0 |          8 |         44 |
| public\assets\img\dashboard\layout                                                                    |          8 |         36 |          0 |          8 |         44 |
| public\assets\img\page                                                                                |          1 |         34 |          1 |          0 |         35 |
| public\assets\img\page\about                                                                          |          1 |         34 |          1 |          0 |         35 |
| public\assets\js                                                                                      |          1 |          6 |          1 |          0 |          7 |
| resources                                                                                             |         53 |      4,917 |         82 |        595 |      5,594 |
| resources\css                                                                                         |          1 |         16 |          3 |          5 |         24 |
| resources\js                                                                                          |          2 |          6 |         23 |         10 |         39 |
| resources\views                                                                                       |         50 |      4,895 |         56 |        580 |      5,531 |
| resources\views\dashboard                                                                             |         34 |      2,552 |         14 |        188 |      2,754 |
| resources\views\dashboard (Files)                                                                     |          1 |         99 |          0 |          5 |        104 |
| resources\views\dashboard\announcement                                                                |          3 |        129 |          0 |         31 |        160 |
| resources\views\dashboard\assistant                                                                   |          9 |        486 |          0 |         17 |        503 |
| resources\views\dashboard\components                                                                  |          3 |        238 |          3 |         15 |        256 |
| resources\views\dashboard\inventory                                                                   |          4 |        260 |          0 |         11 |        271 |
| resources\views\dashboard\layouts                                                                     |          1 |         18 |          0 |          2 |         20 |
| resources\views\dashboard\project                                                                     |          4 |        387 |          0 |         22 |        409 |
| resources\views\dashboard\reserve                                                                     |          3 |        377 |          8 |         35 |        420 |
| resources\views\dashboard\schedule                                                                    |          4 |        435 |          3 |         41 |        479 |
| resources\views\dashboard\user                                                                        |          2 |        123 |          0 |          9 |        132 |
| resources\views\errors                                                                                |          1 |         31 |          0 |          0 |         31 |
| resources\views\page                                                                                  |         15 |      2,312 |         42 |        392 |      2,746 |
| resources\views\page (Files)                                                                          |          3 |        860 |         19 |        138 |      1,017 |
| resources\views\page\auth                                                                             |          1 |         79 |          0 |         16 |         95 |
| resources\views\page\components                                                                       |          2 |        187 |          5 |          5 |        197 |
| resources\views\page\laboratorium                                                                     |          2 |        474 |         10 |         64 |        548 |
| resources\views\page\layouts                                                                          |          1 |         98 |          0 |         27 |        125 |
| resources\views\page\membership                                                                       |          2 |        162 |          0 |         54 |        216 |
| resources\views\page\publication                                                                      |          4 |        452 |          8 |         88 |        548 |
| routes                                                                                                |          4 |        107 |         56 |         41 |        204 |
| tests                                                                                                 |          4 |         41 |         10 |         19 |         70 |
| tests (Files)                                                                                         |          2 |         20 |          3 |         10 |         33 |
| tests\Feature                                                                                         |          1 |         11 |          4 |          5 |         20 |
| tests\Unit                                                                                            |          1 |         10 |          3 |          4 |         17 |
| vendor                                                                                                |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie                                                                                         |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition                                                                                |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources                                                                      |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources\compiled                                                             |          2 |          7 |          2 |          1 |         10 |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                              | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Code\PAD\SI-Lab-TRPL\README.md                                                                     | Markdown   |         45 |          0 |         22 |         67 |
| d:\Code\PAD\SI-Lab-TRPL\app\Console\Kernel.php                                                        | PHP        |         15 |          7 |          6 |         28 |
| d:\Code\PAD\SI-Lab-TRPL\app\Exceptions\Handler.php                                                    | PHP        |         17 |          9 |          5 |         31 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Controllers\AnnouncementController.php                               | PHP        |         37 |          4 |          9 |         50 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Controllers\AssistantController.php                                  | PHP        |        246 |          7 |         50 |        303 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Controllers\AuthenticationController.php                             | PHP        |         40 |          0 |         12 |         52 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Controllers\Controller.php                                           | PHP        |          9 |          0 |          4 |         13 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Controllers\DashboardController.php                                  | PHP        |         17 |          0 |          4 |         21 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Controllers\InventoryController.php                                  | PHP        |         73 |          0 |          9 |         82 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Controllers\LandingpageController.php                                | PHP        |         66 |          0 |          6 |         72 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Controllers\ProjectController.php                                    | PHP        |        130 |          6 |         17 |        153 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Controllers\ReserveController.php                                    | PHP        |        136 |         10 |         33 |        179 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Controllers\ScheduleController.php                                   | PHP        |        166 |         31 |         43 |        240 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Controllers\UserController.php                                       | PHP        |         55 |          0 |          9 |         64 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Kernel.php                                                           | PHP        |         43 |         22 |          7 |         72 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Middleware\Auth.php                                                  | PHP        |         15 |          6 |          4 |         25 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Middleware\AuthAdministrator.php                                     | PHP        |         17 |          5 |          5 |         27 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Middleware\Authenticate.php                                          | PHP        |         11 |          3 |          4 |         18 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Middleware\EncryptCookies.php                                        | PHP        |          8 |          6 |          4 |         18 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Middleware\PreventRequestsDuringMaintenance.php                      | PHP        |          8 |          6 |          4 |         18 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Middleware\RedirectIfAuthenticated.php                               | PHP        |         20 |          5 |          6 |         31 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Middleware\TrimStrings.php                                           | PHP        |         11 |          5 |          4 |         20 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Middleware\TrustHosts.php                                            | PHP        |         12 |          5 |          4 |         21 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Middleware\TrustProxies.php                                          | PHP        |         14 |         10 |          5 |         29 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Middleware\User.php                                                  | PHP        |         17 |          5 |          4 |         26 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Middleware\ValidateSignature.php                                     | PHP        |          8 |         11 |          4 |         23 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Middleware\VerifyCsrfToken.php                                       | PHP        |          8 |          6 |          4 |         18 |
| d:\Code\PAD\SI-Lab-TRPL\app\Http\Middleware\guest.php                                                 | PHP        |         15 |          5 |          4 |         24 |
| d:\Code\PAD\SI-Lab-TRPL\app\Models\Announcement.php                                                   | PHP        |         18 |          0 |          5 |         23 |
| d:\Code\PAD\SI-Lab-TRPL\app\Models\AssistantLecturer.php                                              | PHP        |         27 |          0 |          7 |         34 |
| d:\Code\PAD\SI-Lab-TRPL\app\Models\Attendance.php                                                     | PHP        |         21 |          0 |          7 |         28 |
| d:\Code\PAD\SI-Lab-TRPL\app\Models\Field.php                                                          | PHP        |         14 |          0 |          7 |         21 |
| d:\Code\PAD\SI-Lab-TRPL\app\Models\Inventory.php                                                      | PHP        |         20 |          0 |          5 |         25 |
